T36,R,P1,aid in,/eɪd ɪn/ - phrasal verb,To help or assist in something,کمک کردن به,Living organisms aid in the translocation and aeration of the soil.,"کمک در
aid in
---
",[sound:TPO36/aid_in.mp3]
T36,R,P1,peas,/piz/ - noun,A spherical seed that is widely grown as a food crop,نخود,"Peas, like other legumes, improve soil fertility.","نخود فرنگی
peas
---
pea
noun
نخود, نخود فرنگی

نخود: pea, pease, gram 67
نخود فرنگی: pea 7
_______________________
نخودفرنگی",[sound:TPO36/peas.mp3]
T36,R,P1,peanuts,/ˈpiːˌnʌts/ - noun,"The oval seed of a South American plant, widely grown for food",بادام زمینی,Peanuts are legumes that help in nitrogen fixation in the soil.,"بادام زمینی
peanuts
---
peanut
noun
بادام زمینی, پسته, پسته زمینی, رنگ کتانی, رنگ کنف, مقدار نامعلومی

بادام زمینی: peanut, peanut, groundnut 61
پسته: pistachio, peanut 1
پسته زمینی: peanut 0
رنگ کتانی: peanut 0
رنگ کنف: peanut 0
مقدار نامعلومی: peanut 0
_______________________
peanut:بادام زمینی",[sound:TPO36/peanuts.mp3]
T36,R,P1,nodules,/ˈnɑːdʒulz/ - noun,Small swellings on roots of legumes,گره‌ها,The bacteria within the root nodules of legumes fix nitrogen from the atmosphere.,"ندول ها
nodules
---
nodule
noun
کلوخه, وابستگی به گره, قلنبه کوچک, عقده, بر امدگی

کلوخه: hunk, lump, nodule, clog, gob 0
وابستگی به گره: nodule 0
قلنبه کوچک: nodule 0
عقده: complex, difficulty, knot, nodule 0
بر امدگی: bump, bulge, protuberance, ganglion, tumor, promontory 0
_______________________
دردانه، گره ریز، برامدگی کوچک، قلنبه کوچک، کلوخه، برامدگی، عقده،معماری:دانه",[sound:TPO36/nodules.mp3]
T36,R,P1,fixation,/fɪkˈseɪʃən/ - noun,The process of converting nitrogen gas into a form that plants can absorb and use,تثبیت,Nitrogen fixation makes the soil more fertile.,"تثبیت
fixation
---
fixation
noun
تثبیت, ثابت کردن, تعلق خاطر, تعیین, دلبستگی زیاد, تحکیم, عشق زیاد, خیره شدگی

تثبیت: consolidation, fixation, stabilization, fixing, confirmation, fixity 26
ثابت کردن: fixation, proving 1
تعلق خاطر: fixation 0
تعیین: determination, designation, definition, specification, nomination, fixation 0
دلبستگی زیاد: fixation 0
تحکیم: consolidation, stabilization, fixation, ruggedization 0
عشق زیاد: fixation 0
خیره شدگی: fixation 0
_______________________
تعیین، تثبیت، تحکیم، دلبستگی زیاد، عشق زیاد، خیره شدگی، تعلق خاطر، ثابت کردن،معماری:ثابت کردن،روانشناسی:تثبیت",[sound:TPO36/fixation.mp3]
T36,R,P1,fungi,/ˈfʌŋɡaɪ/ - noun,"Organisms such as mushrooms, molds, and yeasts",قارچ‌ها,"In highly acidic soils, fungi become the chief decomposers of organic matter.","قارچ ها
fungi
---
fungus
noun
قارچ, گیاه قارچی, سماروغ

قارچ: fungus, mushroom 80
گیاه قارچی: fungus 0
سماروغ: fungus, mushroom 0
_______________________
معماری:قارچ",[sound:TPO36/fungi.mp3]
T36,R,P1,with respect to,/wɪð rɪˈspɛkt tu/ - phrase,Concerning or relating to,با توجه به,More complex forms of vegetation play several vital roles with respect to the soil.,"با توجه به
with respect to
---
نسبت به، راجع به",[sound:TPO36/with_respect_to.mp3]
T36,R,P1,bulk,/bʌlk/ - noun,The main or greater part,عمده,"Trees, grass, and other large plants supply the bulk of the soil’s humus.","فله
bulk
---
bulk
noun
حجم, توده, اکثریت, اندازه, جسم, جثه, تنه, جسامت, میزان

حجم: volume, mass, bulk, content, voluminosity 2
توده: mass, pile, lump, bulk, heap, stack 2
اکثریت: majority, bulk, feck 0
اندازه: size, measure, extent, measurement, gauge, bulk 0
جسم: body, flesh, material, substance, matter, bulk 0
جثه: bulk 0
تنه: trunk, body, stem, jostle, frame, bulk 0
جسامت: bulk, corpulence, corpulency, voluminosity 0
میزان: measure, rate, amount, level, size, bulk 0
_______________________
bulk
verb
بصورت توده جمع کردن, انباشتن

بصورت توده جمع کردن: bulk 0
انباشتن: accumulate, stack, fill, stuff, cumulate, bulk 0
_______________________
حجم، بخش عمدهجرم، بخش، حجم کلی، قسمت بزرگ، پر حجم، به صورت عمده، قسمت عمده، یکجا، عمده، جسم، جثه، لش، تنه، اندازه، به صورت توده جمع کردن، انباشتن، توده، اکثریت،علوم مهندسی:حجم،معماری:تنه،قانون فقه:قسمت عمده،بازرگانی:فله، توده، قسمت بزرگ،علوم نظامی:بار قوال",[sound:TPO36/bulk.mp3]
T36,R,P1,constitute,/ˈkɑːnstɪˌtut/ - verb,To make up or form,تشکیل دادن,The minerals released as these plants decompose on the surface constitute an important nutrient source.,"تشکیل می دهند
constitute
---
constitute
verb
تشکیل دادن, تاسیس کردن, ترکیب کردن

تشکیل دادن: organize, form, vocalize, constitute, found 0
تاسیس کردن: constitute, establish, institute, invent, make, found 0
ترکیب کردن: combine, incorporate, synthesize, merge, agglutinate, constitute 0
_______________________
تشکیل دادنتاسیس کردن، ترکیب کردن،علوم نظامی:بنیاد نهادن، مجوز برای تاسیس یک یگان جدید",[sound:TPO36/constitute.mp3]
T36,R,P1,succeeding generations,/səkˈsidɪŋ ˌdʒɛnəˈreɪʃənz/ - noun,Future generations,نسل‌های بعدی,The minerals are important for succeeding generations of plants.,"نسل های بعدی
succeeding generations
---
",[sound:TPO36/succeeding_generations.mp3]
T36,R,P1,protozoa,/ˌproʊtəˈzoʊə/ - noun,Single-celled microscopic animals,تک یاخته‌ای‌ها,The faunal counterparts of bacteria are protozoa.,"تک یاخته ها
protozoa
---
روانشناسی:تک یاختگان",[sound:TPO36/protozoa.mp3]
T36,R,P1,aeration and drainage,/ɛrˈeɪʃən ənd ˈdreɪnɪdʒ/ - noun,The process of introducing air and removing excess water from soil,تهویه و زهکشی,Earthworms improve aeration and drainage of the soil.,"هوادهی و زهکشی
aeration and drainage
---
",[sound:TPO36/aeration_and_drainage.mp3]
T36,R,P1,termites,/ˈtɜrˌmaɪts/ - noun,Insects that feed on wood,موریانه‌ها,Insects such as ants and termites can be exceedingly numerous under favorable conditions.,"موریانه ها
termites
---
termite
noun
موریانه

موریانه: termite 33
_______________________
(ج.ش). موریانه",[sound:TPO36/termites.mp3]
T36,R,P1,moles,/moʊlz/ - noun,Small burrowing mammals,موش کور,"Mammals such as moles, field mice, and gophers impact soil composition.","خال ها
moles
---
mole
noun
خال, خال سیاه, خال گوشتی, کور موش

خال: mole, spot, freckle, blotch, dot, beauty spot 9
خال سیاه: mole 0
خال گوشتی: mole, naevus, mother's mark 0
کور موش: mole 0
_______________________
",[sound:TPO36/moles.mp3]
T36,R,P1,gophers,/ˈɡoʊfərz/ - noun,Burrowing rodents,موش‌های صحرایی,Gophers sometimes are present in sufficient numbers to have significant impact on the soil.,"گوفرها
gophers
---
gopher
noun
دزد قفل باز کن, لاک پشت نقب زن, موش کیسه دار, نوعی جونده نقب زن امریکایی

دزد قفل باز کن: gopher 27
لاک پشت نقب زن: gopher 18
موش کیسه دار: gopher 0
نوعی جونده نقب زن امریکایی: gopher 0
_______________________
",[sound:TPO36/gophers.mp3]
T36,R,P2,Beacon,/ˈbiːkən/ - noun,"A signaling or guiding device, like a light or fire",چراغ دریایی,In 1841 Edward Forbes was offered the chance to serve as naturalist aboard HMS Beacon.,"فانوس دریایی
Beacon
---
beacon
noun
چراغ دریایی, برج دیدبانی, دیدگاه

چراغ دریایی: beacon, lantern, hurricane lamp 2
برج دیدبانی: beacon, watchtower 0
دیدگاه: viewpoint, point of view, standpoint, sight, peephole, beacon 0
_______________________
beacon
verb
با چراغ یا نشان راهنمایی کردن

با چراغ یا نشان راهنمایی کردن: beacon 0
_______________________
برج دریایی، برج مراقبت برج کنترل هواپیماها، چراغ دریایی، دیدگاه، برج دیدبانی، امواج رادیویی برای هدایت هواپیما، باچراغ یانشان راهنمایی کردن،علوم مهندسی:برج دیدبانی،علوم هوایی:بیکن،علوم نظامی:فار دریاییbeacon (fan marker) :برج مراقبت هوایی،علوم نظامی:برج مراقبت با رادار دورانی",[sound:TPO36/Beacon.mp3]
T36,R,P2,crisscrossed,/ˈkrɪsˌkrɔːst/ - verb,Moved back and forth or from side to side,متقاطع,The Beacon crisscrossed the Aegean waters.,"متقاطع شده
crisscrossed
---
crisscross
verb
تقاطع کردن

تقاطع کردن: crisscross, cross, intercross, interlace, intersect, intertwine 1
_______________________
تقاطی، مورب، متقاطع، تقاطع کردن",[sound:TPO36/crisscrossed.mp3]
T36,R,P2,dredge,/drɛdʒ/ - noun,A tool used for bringing up objects or samples from the sea bottom,لایروب,Forbes used a triangular dredge to capture creatures along the sea bottom.,"لایروبی
dredge
---
dredge
noun
ماشین لاروبی, لاروب, الت تنقیه قنات و مانند ان

ماشین لاروبی: dredger, dredge, drag boat 1
لاروب: dredger, dredge 0
الت تنقیه قنات و مانند ان: dredge 0
_______________________
dredge
verb
فشاندن, لاروبی کردن

فشاندن: dredge 0
لاروبی کردن: dredge, drag 0
_______________________
لاروب، الت تنقیه قنات ومانند ان، لاروبی کردن،علوم مهندسی:لاروب کردن،عمران:لاروبی کردن",[sound:TPO36/dredge.mp3]
T36,R,P2,leather,/ˈlɛðər/ - noun,A material made from the skin of animals by tanning or a similar process,چرم,The dredge had a leather net for capturing creatures.,"چرم
leather
---
leather
noun
چرم, بند چرمی, قیش, قیش چرمی

چرم: leather, skin, hide 63
بند چرمی: strap, leather, belt 0
قیش: thong, latchet, leather, strap 0
قیش چرمی: leather 0
_______________________
leather
verb
چرمی کردن, چرم گذاشتن به, شلاق زدن

چرمی کردن: leather 0
چرم گذاشتن به: leather 0
شلاق زدن: thong, whip, thrash, whiplash, wallop, leather 0
_______________________
چرمبند چرمی، چرمی کردن، چرم گذاشتن، شلاق زدن",[sound:TPO36/leather.mp3]
T36,R,P2,assemblage,/əˈsɛmblɪdʒ/ - noun,A collection or gathering of things or people,مجموعه,Each depth zone contained its own distinct assemblage of animal life.,"مجموعه
assemblage
---
assemblage
noun
اجتماع, جمع اوری, انجمن, عمل سوار کردن, ماشین سواری

اجتماع: community, commonwealth, society, assembly, meeting, assemblage 2
جمع اوری: muster, collection, hoarding, accumulation, assemblage, cumulation 0
انجمن: association, community, society, assembly, council, assemblage 0
عمل سوار کردن: assemblage 0
ماشین سواری: assemblage, assembling 0
_______________________
جمع اوری اماد، جمع اوری، اجتماع، انجمن، عمل سوار کردن (ماشین یا موتور)،علوم نظامی:جمع اوری اقلام تدارکاتی",[sound:TPO36/assemblage.mp3]
T36,R,P2,casually,/ˈkæʒuəli/ - adverb,In a relaxed and informal way,بطور معمول,Forbes casually speculated about the zero in the distribution of animal life.,"به طور اتفاقی
casually
---
تصادفا ً، اتفاقا ً، بطور غیر عمدی،قانون فقه:اتفاقا ً",[sound:TPO36/casually.mp3]
T36,R,P2,speculated,/ˈspɛkjʊleɪtɪd/ - verb,Formed a theory or conjecture about a subject without firm evidence,حدس زدن,"Forbes casually speculated that the zero probably began at a depth of 1,800 feet.","حدس زد
speculated
---
speculate
verb
اندیشیدن, احتکار کردن, تفکر کردن, معاملات قماری کردن, سفته بازی کردن

اندیشیدن: think, contemplate, speculate, excogitate, hatch 0
احتکار کردن: hoard, speculate, engross 0
تفکر کردن: meditate, contemplate, consider, ponder, chew, imagine 0
معاملات قماری کردن: speculate 0
سفته بازی کردن: kite, speculate 0
_______________________
گمانه زنیسوداگری کردن، انتظار سود و زیاد داشتن، اندیشیدن، تفکر کردن، معاملات قماری کردن، احتکار کردن، سفته بازی کردن،قانون فقه:معاملات قماری یا سفته بازی کردن،بازرگانی:معاملات پرخطر انجام دادن",[sound:TPO36/speculated.mp3]
T36,R,P2,versus,/ˈvɜrsəs/ - preposition,Against (used to denote conflict or contrast),در مقابل,He extended a line on his graph of animal number versus depth.,"در مقابل
versus
---
versus
preposition
در مقابل, در برابر, برضد

در مقابل: against, versus, for, vis-a-vis 26
در برابر: against, to, versus, for, unto 10
برضد: against, versus, contra, athwart 0
_______________________
در مقابلعلیه، برضد، در برابر،قانون فقه:در مقابل،بازرگانی:در مقابل",[sound:TPO36/versus.mp3]
T36,R,P2,azoic,/eɪˈzoʊɪk/ - adjective,Relating to a period in which no life existed,بی‌حیات,"Forbes called this the azoic zone, where no animal could survive.","آزوئیک
azoic
---
azoic
adjective
خالی از حیات, فاقد نشان زندگی, بی زیوی

خالی از حیات: azoic 13
فاقد نشان زندگی: azoic 6
بی زیوی: azoic 6
_______________________
فاقد نشان زندگی، خالی از حیات، (ز.ش). دوران ماقبل تاریخ، بی زیوی،زیست شناسی:تهی از زندگی",[sound:TPO36/azoic.mp3]
T36,R,P2,to say nothing of,/tə seɪ ˈnʌθɪŋ ʌv/ - phrase,Used to emphasize the significance of an additional fact,چه برسد به,"No animal, to say nothing of plants, could survive in the azoic zone.","چیزی نگفتن
to say nothing of
---
",[sound:TPO36/to_say_nothing_of.mp3]
T36,R,P2,plausible,/ˈplɔːzəbl/ - adjective,Seeming reasonable or probable,معقول,Forbes’s azoic zone was entirely plausible at the time.,"قابل قبول
plausible
---
plausible
adjective
پذیرفتنی, محتمل, باور کردنی, قابل استماع

پذیرفتنی: acceptable, plausible, admissible, receivable 15
محتمل: possible, likely, probable, plausible, contingent, feasible 5
باور کردنی: probable, plausible, believable, credible, likely 0
قابل استماع: plausible 0
_______________________
معقولباورکردنی، پذیرفتنی، قابل استماع، محتمل",[sound:TPO36/plausible.mp3]
T36,R,P2,abyss,/əˈbɪs/ - noun,A deep or seemingly bottomless chasm,پرتگاه,The central implication was that nothing could live in the abyss.,"پرتگاه
abyss
---
(=abysm)بسیار عمیق، بی پایان، غوطه ورساختن، مغاک،زیست شناسی:ژرف",[sound:TPO36/abyss.mp3]
T36,R,P2,erred,/ɜrd/ - verb,Made a mistake,اشتباه کرد,Forbes erred in his study of the Aegean Sea.,"اشتباه کرد
erred
---
err
verb
گمراه شدن, خطا کردن, در اشتباه بودن, غلط بودن, بغلط قضاوت کردن

گمراه شدن: err, pervert, stray 1
خطا کردن: err, sin, bungle, make an error, goof, miss 0
در اشتباه بودن: err 0
غلط بودن: err 0
بغلط قضاوت کردن: err 0
_______________________
",[sound:TPO36/erred.mp3]
T36,R,P2,use as a springboard,/jus æz ə ˈsprɪŋˌbɔrd/ - phrase,Use something as a point of departure or inspiration,استفاده به عنوان سکوی پرتاب,Forbes used his study site as a springboard for his sweeping postulate.,"به عنوان سکوی پرش استفاده کنید
use as a springboard
---
",[sound:TPO36/use_as_a_springboard.mp3]
T36,R,P2,sweeping,/ˈswipɪŋ/ - adjective,Extensive or wide-ranging,جامع,Forbes made a sweeping postulate of a lifeless abyss.,"جارو کردن
sweeping
---
sweeping
noun
رفت

رفت: sweeping 0
_______________________
گسترده، وسیعجامع، شامل، فراگیرنده، جارو کشی",[sound:TPO36/sweeping.mp3]
T36,R,P2,postulate,/ˈpɑstʃəlɪt/ - noun,A thing suggested or assumed as true as the basis for reasoning,فرضیه,Forbes made a sweeping postulate of a lifeless abyss.,"فرض
postulate
---
postulate
noun
قیاس منطقی, انگاره, پذیره, ادعا, تقاضا, درخواست

قیاس منطقی: postulate, syllogism, postulation, proposition, noetics 6
انگاره: idea, tenet, pattern, postulate, sketch, croquis 2
پذیره: postulate 1
ادعا: claim, assertion, allegation, purport, pretension, postulate 0
تقاضا: demand, request, requirement, plea, requisition, postulate 0
درخواست: request, application, demand, appeal, solicitation, postulate 0
_______________________
postulate
verb
مسلم فرض کردن, فرض نمودن, لازم دانستن, قیاس منطقی کردن

مسلم فرض کردن: postulate 0
فرض نمودن: postulate 0
لازم دانستن: postulate, require 0
قیاس منطقی کردن: postulate 0
_______________________
شرط اصلی، لازمه، اصل موضوع، تقاضا، درخواست، ادعا، بدیهی شمرده، لازم دانستن، قیاس منطقی کردن، فرض نمودن، انگاره، پذیره، مسلم فرض کردن،قانون فقه:هر یک از احکام استدلالی که در ان علم بدون برهان پذیرفته شده و در اثبات سایر احکام مورد استفاده قرار می گیرد اصول ثابته،شیمی:پذیرا شدن،روانشناسی:اصل موضوع",[sound:TPO36/postulate.mp3]
T36,R,P2,reel,/ril/ - verb,Wind a line onto a reel by turning the reel,قرقره کردن,Many of the animals must have poured out of its open mouth when Forbes reeled it in.,"قرقره
reel
---
reel
noun
حلقه, قرقره, قرقره فیلم, حلقه فیلم, چرخک, نخ پیچیده بدور قرقره, ماسوره, پشت سر هم

حلقه: loop, ring, reel, chain, hoop, curl 43
قرقره: pulley, spool, reel, bobbin, hank, hasp 5
قرقره فیلم: reel 0
حلقه فیلم: reel 0
چرخک: caster, pulley, reel, rowel, trundle, whirligig 0
نخ پیچیده بدور قرقره: reel 0
ماسوره: bobbin, spool, hank, hasp, reel 0
پشت سر هم: reel 0
_______________________
reel
verb
تلو تلو خوردن, چرخیدن, گیج خوردن, یله رفتن

تلو تلو خوردن: stumble, wobble, stagger, lurch, swing, reel 0
چرخیدن: turn, spin, rotate, revolve, whirl, reel 0
گیج خوردن: reel, stagger 0
یله رفتن: reel, stagger 0
_______________________
حلقه فیلم؛ قرقرهقرقره سیم کشی، نخ پیچیده به دور قرقره، ماسوره، قرقره فیلم، مسلسل، متوالی، پشت سر هم، چرخیدن، گیج خوردن، یله رفتن، تلو تلو خوردن،علوم مهندسی:طبلک،کامپیوتر:قرقره،ورزش:قرقره ماهیگیری،علوم نظامی:قرقره سیم",[sound:TPO36/reel.mp3]
T36,R,P2,extrapolation,/ɪkˌstræpəˈleɪʃən/ - noun,The action of estimating or concluding something by assuming that existing trends will continue,برون‌یابی,His azoic zone was a wild extrapolation from feeble data.,"برون یابی
extrapolation
---
extrapolation
noun
برون یابی

برون یابی: extrapolation 100
_______________________
قیاس گیری، ادامه روند، برون یابی،شیمی:برون یابی،روانشناسی:براورد برونی،زیست شناسی:برون یابی،بازرگانی:تعمیم دهی",[sound:TPO36/extrapolation.mp3]
T36,R,P2,pioneering,/ˌpaɪəˈnɪrɪŋ/ - adjective,Involving new ideas or methods,پیشگام,Forbes’s work was pioneering but based on feeble data.,"پیشگام
pioneering
---
pioneering
noun
خیش زنی

خیش زنی: listering, pioneering, reclaiming, turning, ploughing 0
_______________________
pioneer:پیشرو، پیشگامپیش قدم شدن، مهندس استحکامات، سرباز مهندس حفار، بیلدار،زیست شناسی:پیشگام،علوم نظامی:پیش قراول",[sound:TPO36/pioneering.mp3]
T36,R,P2,feeble,/ˈfibl/ - adjective,"Lacking physical strength, especially as a result of age or illness",ضعیف,His azoic zone was a plausible but wild extrapolation from pioneering but feeble data.,"ضعیف
feeble
---
feeble
adjective
ضعیف, ناتوان, سست, عاجز, نحیف, کم زور

ضعیف: weak, faint, weakly, feeble, flagging, fragile 22
ناتوان: unable, incapable, weak, impotent, feeble, infirm 4
سست: loose, weak, frail, flimsy, slack, feeble 2
عاجز: unable, incapable, weak, blind, feeble, cripple 0
نحیف: frail, haggard, skimpy, thin, lank, feeble 0
کم زور: weak, feeble, spent 0
_______________________
feeble
verb
ضعیف کردن

ضعیف کردن: weaken, diminish, enfeeble, debilitate, devitalize, feeble 0
_______________________
ضعیفکم زور، ناتوان، عاجز، سست، نحیف",[sound:TPO36/feeble.mp3]
T36,R,P2,bivalved,/ˈbaɪˌvælvd/ - adjective,Having a shell composed of two hinged parts,دولختی,Sir John Ross used a bivalved sediment scoop called the “deep-sea clam.”,"دوکفه ای
bivalved
---
bivalved
adjective
دارای دو کپه, دو پرهای, صدف دو کپه, دو لنگ

دارای دو کپه: bivalve, bivalved 18
دو پرهای: bivalve, bivalved 18
صدف دو کپه: bivalve, bivalved 18
دو لنگ: bivalve, bivalved 18
_______________________
(=bivalved)دارای دو کپه، دو پره ای، صدف دو کپه، دو لته",[sound:TPO36/bivalved.mp3]
T36,R,P2,inlet,/ˈɪnˌlɛt/ - noun,"A small arm of the sea, a lake, or a river",خور,Baffin Bay is an inlet between the Atlantic and Arctic oceans.,"ورودی
inlet
---
inlet
noun
شاخابه, خلیج کوچک, راه دخول, خور

شاخابه: inlet, armlet, loch 1
خلیج کوچک: bay, cove, inlet, firth, bight, frith 0
راه دخول: inlet 0
خور: estuary, cove, bay, firth, gulf, inlet 0
_______________________
دهانه، فرورفتگی و رخنه کوچک دریچه ورودی، شاخابه، خلیج کوچک، خور، راه دخول،معماری:دخول،علوم هوایی:ورودی،علوم نظامی:رخنه",[sound:TPO36/inlet.mp3]
T36,R,P2,fathoms,/ˈfæðəmz/ - noun,"Units of length equal to six feet, used in reference to the depth of water",قامت,Ross determined the waters of Baffin Bay to be more than a thousand fathoms deep.,"فهم
fathoms
---
fathom
noun
قولاج اندازه گرفتن

قولاج اندازه گرفتن: fathom 2
_______________________
fathom
verb
عمق پیمایی کردن, درک کردن, فهمیدن

عمق پیمایی کردن: fathom 2
درک کردن: understand, comprehend, perceive, realize, appreciate, apperceive 2
فهمیدن: understand, figure out, see, realize, comprehend, sense 2
_______________________
",[sound:TPO36/fathoms.mp3]
T36,R,P2,dove,/doʊv/ - verb,"Past tense of dive, meaning to plunge into water headfirst",غوص کرد,Ross’s clam dove several times deeper than Forbes’s dredge.,"کبوتر
dove
---
dove
noun
قمری, فاخته

قمری: dove, ringdove 3
فاخته: cuckoo, dove, ringdove 3
_______________________
(ج.ش). فاخته، قمری",[sound:TPO36/dove.mp3]
T36,R,P2,mud,/mʌd/ - noun,"Soft, sticky matter resulting from the mixing of earth and water",گل,Ross’s clam brought back mud laced with worms.,"گل و لای
mud
---
mud
noun
گل, لجن, افترا

گل: flower, mud, clay, blossom, silt, slob 41
لجن: sludge, mud, silt, slush, slob, ooze 25
افترا: libel, defamation, detraction, obloquy, accusal, mud 0
_______________________
mud
verb
گل الود کردن, تیره کردن

گل الود کردن: puddle, bemire, lair, mud 0
تیره کردن: darken, blur, obscure, dim, fog, mud 0
_______________________
گل، لجنگل آلود کردن، تیره کردن،علوم مهندسی:رسوب،عمران:گل،معماری:لجن،زیست شناسی:گل",[sound:TPO36/mud.mp3]
T36,R,P2,laced,/leɪst/ - verb,Containing a small amount of a substance dispersed within it,در بر داشتن,Ross’s clam brought back mud laced with worms.,"توری
laced
---
lace
verb
بنددار کردن, بند کفش را بستن, یراق دوزی کردن

بنددار کردن: lace 0
بند کفش را بستن: lace 0
یراق دوزی کردن: lace 0
_______________________
بندی، سبک، الکل زده",[sound:TPO36/laced.mp3]
